Freq.	V(vd)	V(vtest_in)	I(V4)
1.00000000000000e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.02329299228075e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.04712854805090e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.07151930523761e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.09647819614319e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.12201845430196e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.14815362149688e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.17489755493953e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.20226443461741e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.23026877081238e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.25892541179417e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.28824955169313e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.31825673855641e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.34896288259165e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.38038426460288e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.41253754462275e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.44543977074593e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.47910838816821e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.51356124843621e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.54881661891248e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.58489319246111e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.62181009735893e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.65958690743756e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.69824365246174e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.73780082874937e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.77827941003892e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.81970085860998e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.86208713666287e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.90546071796325e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.94984459975804e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
1.99526231496888e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.04173794466953e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.08929613085404e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
2.13796208950223e+01	-5.38847696554954e-01,0.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00	-6.66666666666667e-07,0.00000000000000e+00
