Freq.	V(vd)
1.00000000000000e+01	(-1.83245824820583e+00dB,-1.78990684172160e+02°)
1.02329299228075e+01	(-1.83225822580583e+00dB,-1.79013622096974e+02°)
1.04712854805090e+01	(-1.83206719182387e+00dB,-1.79036040351678e+02°)
1.07151930523761e+01	(-1.83188474295126e+00dB,-1.79057950601449e+02°)
1.09647819614319e+01	(-1.83171049392250e+00dB,-1.79079364256845e+02°)
1.12201845430196e+01	(-1.83154407671286e+00dB,-1.79100292478876e+02°)
1.14815362149688e+01	(-1.83138513977101e+00dB,-1.79120746184005e+02°)
1.17489755493953e+01	(-1.83123334728563e+00dB,-1.79140736049085e+02°)
1.20226443461741e+01	(-1.83108837848416e+00dB,-1.79160272516222e+02°)
1.23026877081238e+01	(-1.83094992696255e+00dB,-1.79179365797567e+02°)
1.25892541179417e+01	(-1.83081770004463e+00dB,-1.79198025880038e+02°)
1.28824955169313e+01	(-1.83069141816974e+00dB,-1.79216262529964e+02°)
1.31825673855641e+01	(-1.83057081430743e+00dB,-1.79234085297659e+02°)
1.34896288259165e+01	(-1.83045563339810e+00dB,-1.79251503521920e+02°)
1.38038426460288e+01	(-1.83034563181836e+00dB,-1.79268526334452e+02°)
1.41253754462275e+01	(-1.83024057687022e+00dB,-1.79285162664215e+02°)
1.44543977074593e+01	(-1.83014024629268e+00dB,-1.79301421241700e+02°)
1.47910838816821e+01	(-1.83004442779532e+00dB,-1.79317310603127e+02°)
1.51356124843621e+01	(-1.82995291861235e+00dB,-1.79332839094575e+02°)
1.54881661891248e+01	(-1.82986552507654e+00dB,-1.79348014876023e+02°)
1.58489319246111e+01	(-1.82978206221221e+00dB,-1.79362845925338e+02°)
1.62181009735893e+01	(-1.82970235334616e+00dB,-1.79377340042174e+02°)
1.65958690743756e+01	(-1.82962622973605e+00dB,-1.79391504851803e+02°)
1.69824365246174e+01	(-1.82955353021525e+00dB,-1.79405347808873e+02°)
1.73780082874937e+01	(-1.82948410085356e+00dB,-1.79418876201099e+02°)
1.77827941003892e+01	(-1.82941779463302e+00dB,-1.79432097152875e+02°)
1.81970085860998e+01	(-1.82935447113815e+00dB,-1.79445017628826e+02°)
1.86208713666287e+01	(-1.82929399626018e+00dB,-1.79457644437278e+02°)
1.90546071796325e+01	(-1.82923624191421e+00dB,-1.79469984233672e+02°)
1.94984459975804e+01	(-1.82918108576925e+00dB,-1.79482043523904e+02°)
1.99526231496888e+01	(-1.82912841099015e+00dB,-1.79493828667595e+02°)
2.04173794466953e+01	(-1.82907810599108e+00dB,-1.79505345881306e+02°)
2.08929613085404e+01	(-1.82903006420024e+00dB,-1.79516601241673e+02°)
2.13796208950223e+01	(-1.82898418383471e+00dB,-1.79527600688497e+02°)
2.18776162394955e+01	(-1.82894036768569e+00dB,-1.79538350027750e+02°)
2.23872113856834e+01	(-1.82889852291326e+00dB,-1.79548854934535e+02°)
2.29086765276777e+01	(-1.82885856085023e+00dB,-1.79559120955974e+02°)
2.34422881531992e+01	(-1.82882039681485e+00dB,-1.79569153514049e+02°)
2.39883291901949e+01	(-1.82878394993197e+00dB,-1.79578957908367e+02°)
2.45470891568503e+01	(-1.82874914296201e+00dB,-1.79588539318881e+02°)
2.51188643150958e+01	(-1.82871590213780e+00dB,-1.79597902808551e+02°)
2.57039578276886e+01	(-1.82868415700869e+00dB,-1.79607053325933e+02°)
2.63026799189538e+01	(-1.82865384029144e+00dB,-1.79615995707745e+02°)
2.69153480392691e+01	(-1.82862488772812e+00dB,-1.79624734681343e+02°)
2.75422870333816e+01	(-1.82859723795012e+00dB,-1.79633274867172e+02°)
2.81838293126445e+01	(-1.82857083234833e+00dB,-1.79641620781152e+02°)
2.88403150312660e+01	(-1.82854561494927e+00dB,-1.79649776837003e+02°)
2.95120922666638e+01	(-1.82852153229657e+00dB,-1.79657747348545e+02°)
3.01995172040201e+01	(-1.82849853333790e+00dB,-1.79665536531935e+02°)
3.09029543251359e+01	(-1.82847656931692e+00dB,-1.79673148507836e+02°)
3.16227766016838e+01	(-1.82845559367013e+00dB,-1.79680587303582e+02°)
3.23593656929628e+01	(-1.82843556192828e+00dB,-1.79687856855258e+02°)
3.31131121482591e+01	(-1.82841643162227e+00dB,-1.79694961009749e+02°)
3.38844156139202e+01	(-1.82839816219321e+00dB,-1.79701903526751e+02°)
3.46736850452531e+01	(-1.82838071490656e+00dB,-1.79708688080721e+02°)
3.54813389233575e+01	(-1.82836405277016e+00dB,-1.79715318262801e+02°)
3.63078054770101e+01	(-1.82834814045581e+00dB,-1.79721797582695e+02°)
3.71535229097172e+01	(-1.82833294422458e+00dB,-1.79728129470497e+02°)
3.80189396320561e+01	(-1.82831843185523e+00dB,-1.79734317278482e+02°)
3.89045144994280e+01	(-1.82830457257606e+00dB,-1.79740364282866e+02°)
3.98107170553497e+01	(-1.82829133699969e+00dB,-1.79746273685525e+02°)
4.07380277804112e+01	(-1.82827869706080e+00dB,-1.79752048615654e+02°)
4.16869383470335e+01	(-1.82826662595671e+00dB,-1.79757692131431e+02°)
4.26579518801592e+01	(-1.82825509809054e+00dB,-1.79763207221597e+02°)
4.36515832240165e+01	(-1.82824408901715e+00dB,-1.79768596807043e+02°)
4.46683592150962e+01	(-1.82823357539104e+00dB,-1.79773863742334e+02°)
4.57088189614874e+01	(-1.82822353491721e+00dB,-1.79779010817206e+02°)
4.67735141287197e+01	(-1.82821394630371e+00dB,-1.79784040758030e+02°)
4.78630092322638e+01	(-1.82820478921656e+00dB,-1.79788956229262e+02°)
4.89778819368445e+01	(-1.82819604423678e+00dB,-1.79793759834819e+02°)
5.01187233627271e+01	(-1.82818769281901e+00dB,-1.79798454119470e+02°)
5.12861383991364e+01	(-1.82817971725246e+00dB,-1.79803041570157e+02°)
5.24807460249772e+01	(-1.82817210062316e+00dB,-1.79807524617318e+02°)
5.37031796370252e+01	(-1.82816482677825e+00dB,-1.79811905636155e+02°)
5.49540873857623e+01	(-1.82815788029168e+00dB,-1.79816186947903e+02°)
5.62341325190348e+01	(-1.82815124643158e+00dB,-1.79820370821027e+02°)
5.75439937337156e+01	(-1.82814491112889e+00dB,-1.79824459472441e+02°)
5.88843655355588e+01	(-1.82813886094765e+00dB,-1.79828455068658e+02°)
6.02559586074357e+01	(-1.82813308305657e+00dB,-1.79832359726955e+02°)
6.16595001861481e+01	(-1.82812756520169e+00dB,-1.79836175516466e+02°)
6.30957344480192e+01	(-1.82812229568050e+00dB,-1.79839904459279e+02°)
6.45654229034654e+01	(-1.82811726331707e+00dB,-1.79843548531512e+02°)
6.60693448007595e+01	(-1.82811245743838e+00dB,-1.79847109664364e+02°)
6.76082975391980e+01	(-1.82810786785175e+00dB,-1.79850589745102e+02°)
6.91830970918935e+01	(-1.82810348482315e+00dB,-1.79853990618084e+02°)
7.07945784384136e+01	(-1.82809929905657e+00dB,-1.79857314085735e+02°)
7.24435960074988e+01	(-1.82809530167437e+00dB,-1.79860561909475e+02°)
7.41310241300916e+01	(-1.82809148419838e+00dB,-1.79863735810678e+02°)
7.58577575029182e+01	(-1.82808783853200e+00dB,-1.79866837471561e+02°)
7.76247116628690e+01	(-1.82808435694294e+00dB,-1.79869868536078e+02°)
7.94328234724279e+01	(-1.82808103204696e+00dB,-1.79872830610790e+02°)
8.12830516164097e+01	(-1.82807785679205e+00dB,-1.79875725265734e+02°)
8.31763771102669e+01	(-1.82807482444363e+00dB,-1.79878554035206e+02°)
8.51138038202374e+01	(-1.82807192857012e+00dB,-1.79881318418619e+02°)
8.70963589956078e+01	(-1.82806916302945e+00dB,-1.79884019881276e+02°)
8.91250938133743e+01	(-1.82806652195591e+00dB,-1.79886659855132e+02°)
9.12010839355907e+01	(-1.82806399974780e+00dB,-1.79889239739581e+02°)
9.33254300796988e+01	(-1.82806159105556e+00dB,-1.79891760902180e+02°)
9.54992586021433e+01	(-1.82805929077027e+00dB,-1.79894224679366e+02°)
9.77237220955808e+01	(-1.82805709401299e+00dB,-1.79896632377167e+02°)
9.99999999999997e+01	(-1.82805499612441e+00dB,-1.79898985271909e+02°)
1.02329299228075e+02	(-1.82805299265480e+00dB,-1.79901284610874e+02°)
1.04712854805090e+02	(-1.82805107935476e+00dB,-1.79903531612964e+02°)
1.07151930523760e+02	(-1.82804925216615e+00dB,-1.79905727469343e+02°)
1.09647819614318e+02	(-1.82804750721337e+00dB,-1.79907873344075e+02°)
1.12201845430196e+02	(-1.82804584079534e+00dB,-1.79909970374739e+02°)
1.14815362149688e+02	(-1.82804424937751e+00dB,-1.79912019673033e+02°)
1.17489755493953e+02	(-1.82804272958440e+00dB,-1.79914022325350e+02°)
1.20226443461741e+02	(-1.82804127819241e+00dB,-1.79915979393372e+02°)
1.23026877081238e+02	(-1.82803989212310e+00dB,-1.79917891914599e+02°)
1.25892541179416e+02	(-1.82803856843649e+00dB,-1.79919760902951e+02°)
1.28824955169313e+02	(-1.82803730432499e+00dB,-1.79921587349248e+02°)
1.31825673855640e+02	(-1.82803609710733e+00dB,-1.79923372221799e+02°)
1.34896288259165e+02	(-1.82803494422288e+00dB,-1.79925116466846e+02°)
1.38038426460288e+02	(-1.82803384322631e+00dB,-1.79926821009106e+02°)
1.41253754462275e+02	(-1.82803279178234e+00dB,-1.79928486752251e+02°)
1.44543977074592e+02	(-1.82803178766074e+00dB,-1.79930114579387e+02°)
1.47910838816820e+02	(-1.82803082873171e+00dB,-1.79931705353530e+02°)
1.51356124843620e+02	(-1.82802991296127e+00dB,-1.79933259918058e+02°)
1.54881661891248e+02	(-1.82802903840700e+00dB,-1.79934779097129e+02°)
1.58489319246111e+02	(-1.82802820321387e+00dB,-1.79936263696180e+02°)
1.62181009735892e+02	(-1.82802740561040e+00dB,-1.79937714502296e+02°)
1.65958690743755e+02	(-1.82802664390477e+00dB,-1.79939132284649e+02°)
1.69824365246174e+02	(-1.82802591648133e+00dB,-1.79940517794918e+02°)
1.73780082874937e+02	(-1.82802522179715e+00dB,-1.79941871767662e+02°)
1.77827941003892e+02	(-1.82802455837873e+00dB,-1.79943194920723e+02°)
1.81970085860998e+02	(-1.82802392481892e+00dB,-1.79944487955614e+02°)
1.86208713666286e+02	(-1.82802331977387e+00dB,-1.79945751557882e+02°)
1.90546071796324e+02	(-1.82802274196018e+00dB,-1.79946986397462e+02°)
1.94984459975804e+02	(-1.82802219015229e+00dB,-1.79948193129034e+02°)
1.99526231496887e+02	(-1.82802166317972e+00dB,-1.79949372392406e+02°)
2.04173794466952e+02	(-1.82802115992474e+00dB,-1.79950524812798e+02°)
2.08929613085403e+02	(-1.82802067931985e+00dB,-1.79951651001204e+02°)
2.13796208950222e+02	(-1.82802022034568e+00dB,-1.79952751554733e+02°)
2.18776162394954e+02	(-1.82801978202869e+00dB,-1.79953827056864e+02°)
2.23872113856833e+02	(-1.82801936343914e+00dB,-1.79954878077840e+02°)
2.29086765276776e+02	(-1.82801896368916e+00dB,-1.79955905174881e+02°)
2.34422881531991e+02	(-1.82801858193081e+00dB,-1.79956908892576e+02°)
2.39883291901948e+02	(-1.82801821735440e+00dB,-1.79957889763053e+02°)
2.45470891568502e+02	(-1.82801786918658e+00dB,-1.79958848306395e+02°)
2.51188643150957e+02	(-1.82801753668885e+00dB,-1.79959785030813e+02°)
2.57039578276885e+02	(-1.82801721915594e+00dB,-1.79960700432932e+02°)
2.63026799189537e+02	(-1.82801691591432e+00dB,-1.79961594998111e+02°)
2.69153480392690e+02	(-1.82801662632080e+00dB,-1.79962469200663e+02°)
2.75422870333816e+02	(-1.82801634976110e+00dB,-1.79963323504051e+02°)
2.81838293126444e+02	(-1.82801608564861e+00dB,-1.79964158361250e+02°)
2.88403150312659e+02	(-1.82801583342311e+00dB,-1.79964974214904e+02°)
2.95120922666637e+02	(-1.82801559254962e+00dB,-1.79965771497572e+02°)
3.01995172040200e+02	(-1.82801536251719e+00dB,-1.79966550631989e+02°)
3.09029543251358e+02	(-1.82801514283792e+00dB,-1.79967312031214e+02°)
3.16227766016837e+02	(-1.82801493304580e+00dB,-1.79968056098958e+02°)
3.23593656929627e+02	(-1.82801473269590e+00dB,-1.79968783229761e+02°)
3.31131121482590e+02	(-1.82801454136320e+00dB,-1.79969493809104e+02°)
3.38844156139201e+02	(-1.82801435864189e+00dB,-1.79970188213770e+02°)
3.46736850452530e+02	(-1.82801418414437e+00dB,-1.79970866811924e+02°)
3.54813389233574e+02	(-1.82801401750052e+00dB,-1.79971529963367e+02°)
3.63078054770100e+02	(-1.82801385835686e+00dB,-1.79972178019693e+02°)
3.71535229097171e+02	(-1.82801370637586e+00dB,-1.79972811324518e+02°)
3.80189396320559e+02	(-1.82801356123511e+00dB,-1.79973430213601e+02°)
3.89045144994279e+02	(-1.82801342262677e+00dB,-1.79974035015094e+02°)
3.98107170553495e+02	(-1.82801329025682e+00dB,-1.79974626049694e+02°)
4.07380277804111e+02	(-1.82801316384450e+00dB,-1.79975203630726e+02°)
4.16869383470333e+02	(-1.82801304312165e+00dB,-1.79975768064455e+02°)
4.26579518801591e+02	(-1.82801292783221e+00dB,-1.79976319650156e+02°)
4.36515832240164e+02	(-1.82801281773168e+00dB,-1.79976858680239e+02°)
4.46683592150961e+02	(-1.82801271258647e+00dB,-1.79977385440525e+02°)
4.57088189614873e+02	(-1.82801261217357e+00dB,-1.79977900210354e+02°)
4.67735141287196e+02	(-1.82801251627999e+00dB,-1.79978403262577e+02°)
4.78630092322636e+02	(-1.82801242470232e+00dB,-1.79978894863991e+02°)
4.89778819368444e+02	(-1.82801233724633e+00dB,-1.79979375275206e+02°)
5.01187233627270e+02	(-1.82801225372651e+00dB,-1.79979844750909e+02°)
5.12861383991362e+02	(-1.82801217396568e+00dB,-1.79980303540133e+02°)
5.24807460249770e+02	(-1.82801209779470e+00dB,-1.79980751886019e+02°)
5.37031796370250e+02	(-1.82801202505196e+00dB,-1.79981190026325e+02°)
5.49540873857622e+02	(-1.82801195558320e+00dB,-1.79981618193358e+02°)
5.62341325190346e+02	(-1.82801188924102e+00dB,-1.79982036614121e+02°)
5.75439937337154e+02	(-1.82801182588476e+00dB,-1.79982445510530e+02°)
5.88843655355586e+02	(-1.82801176537998e+00dB,-1.79982845099283e+02°)
6.02559586074355e+02	(-1.82801170759836e+00dB,-1.79983235592321e+02°)
6.16595001861479e+02	(-1.82801165241736e+00dB,-1.79983617196666e+02°)
6.30957344480190e+02	(-1.82801159971989e+00dB,-1.79983990114609e+02°)
6.45654229034652e+02	(-1.82801154939421e+00dB,-1.79984354543965e+02°)
6.60693448007592e+02	(-1.82801150133355e+00dB,-1.79984710677881e+02°)
6.76082975391978e+02	(-1.82801145543597e+00dB,-1.79985058705192e+02°)
6.91830970918933e+02	(-1.82801141160415e+00dB,-1.79985398810489e+02°)
7.07945784384134e+02	(-1.82801136974506e+00dB,-1.79985731174011e+02°)
